Title	Person	Module	Date	Amount of external comments	-2	-1	+1	+2
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16036/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	freescale/external/fsl_vpu_omx	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16033/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/native	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16032/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/av	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16040/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/av	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16039/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/native	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16037/","MYCO-8037: Revert added support for changing 'Screen lock' type from DM")	Mikael Bodin	ascom/packages/apps/UniteDeviceAdmin	2017-12-12	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16034/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/native	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16031/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	freescale/external/fsl_vpu_omx	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16041/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	freescale/external/fsl_vpu_omx	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16038/","MYCO-9578: Fixed segmentation fault in libstagefright.")	Konstantin Osipov	aosp/platform/frameworks/av	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16030/","MYCO-9414: Broadcaster and setter for CallerName were added.")	Ksenia Kudakova	ascom/packages/apps/PhoneCallMgr	2017-12-12	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16028/","MYCO-DECT-display-text: Change display text formatting.")	Anna Anfilova	ascom/packages/apps/PhoneDect	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16029/","MYCO-9414: SipService reports when the CallerName of SipCall is updated.")	Ksenia Kudakova	ascom/packages/apps/PhoneSIP	2017-12-12	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16035/","MYCO-9577: Applied NXP patches for GtsExoPlayerTestCases.")	Sergey Kolebanov	aosp/platform/frameworks/av	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15985/","MYCO-9571: Was added logic to have ability to call getCallBearer as fisrt RPC.")	Mikhail Zemskov	ascom/packages/apps/TestInterface	2017-12-12	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15966/","MYCO-8037: Revert added support for changing 'Screen lock' type from DM")	Mikael Bodin	ascom/packages/apps/UniteDeviceAdmin	2017-12-11	2	0	1	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15981/","MYCO-9544: Login pun is shown when display management text is empty.")	Rustem Teregulov	ascom/packages/apps/PhoneDect	2017-12-12	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/16002/","Revert MYCO-9545: Apply 16x3 size for DECT base station messages")	Nikolay Starkov	ascom/dect/dx	2017-12-11	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15971/","MYCO-9545: Apply 16x3 size for DECT base station messages")	Artem Zamulin	ascom/dect/dx	2017-12-10	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15961/","MYCO-9526: Enable the shortcut service together with the Ascom Myco launcher.")	Mikael Bodin	ascom/packages/apps/Shortcuts	2017-12-11	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15968/","MYCO-9526: Enable the Shortcuts app together with the Myco Launcher")	Mikael Bodin	ascom/packages/apps/Supervisor	2017-12-11	0	0	0	0	1
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15982/","MYCO-9565: Decrease timeout for connection re-trigger in Libconnector.")	Nikolay Starkov	ascom/hardware/ascom	2017-12-11	0	0	0	0	0
=HYPERLINK("https://myco01.ascom-ws.com/#/c/15975/","MYCO-8983: Prod.test cmd: Event/poll when DECT is up&running")	Alexander Abrosimov	ascom/device/prebuilts	2017-12-11	0	0	0	0	0
